redshift    gw_detected    grb_detected    DeltaOmega    telt_vr    lsstg    lssti    telt_ztf    ztfg    ztfi    telt_pstarrs    ps1::g    ps1::i    telt_ultrasat    ultrasat_custom    afterglow_detected 
1.330    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.393    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
0.833    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.622    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
2.266    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
0.817    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.844    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
4.058    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
0.752    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
0.743    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.728    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.631    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
3.349    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.795    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.647    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
0.718    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
3.140    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
0.677    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.580    1    0    10810.44    0    0    0    0    0    0    0    0    0    0    0    0 
1.282    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
2.959    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
2.155    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.507    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
2.108    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
0.995    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.377    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
0.653    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.398    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.398    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.005    1    0    3968.14    0    0    0    0    0    0    0    0    0    0    0    0 
0.652    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.559    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
4.179    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
0.862    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
2.363    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.293    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.692    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
2.947    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
0.950    1    0    5086.49    0    0    0    0    0    0    0    0    0    0    0    0 
3.143    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
0.737    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.156    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
5.327    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
2.009    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.367    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.465    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
0.532    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.800    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
2.914    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.505    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
2.056    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
0.976    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
2.159    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
2.218    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
1.060    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0 
